actual_price,predicted_price_lr,predicted_price_rf,residual_rf,residual_pct_rf,price_tier
821100,1294901.7452091346,985825.4400299034,164725.44002990343,20.061556452308295,$500K-$1M
891300,369405.1419799706,724545.7618064348,-166754.23819356516,-18.70910335392855,$500K-$1M
268800,316041.5091211947,264546.2808320729,-4253.719167927105,-1.5824848094966912,<$500K
813500,1639709.4212730825,945629.1494693563,132129.14946935629,16.242058939072685,$500K-$1M
1008500,1062222.0651166844,1642166.281404862,633666.281404862,62.832551453134556,$1M-$2M
880100,1230561.6162989298,983742.6393731592,103642.63937315915,11.77623444758086,$500K-$1M
2821600,1433412.7413067752,2330060.898838917,-491539.1011610832,-17.42058056283964,$2M+
998200,1112369.189930704,984828.9354240403,-13371.064575959696,-1.3395175892566316,$500K-$1M
1002500,958325.5929908584,1245225.384390369,242725.38439036906,24.212008417991925,$1M-$2M
747500,631156.1374756737,685613.2137691769,-61886.78623082314,-8.279168726531525,$500K-$1M
904600,1138244.6141777234,1066396.4947251957,161796.4947251957,17.885971117089948,$500K-$1M
524900,238999.86590362713,481071.98273959506,-43828.017260404944,-8.349784198972173,$500K-$1M
762000,912116.8577692491,773753.6744286806,11753.674428680562,1.5424769591444307,$500K-$1M
704000,857928.4296054178,664432.0037946615,-39567.99620533851,-5.62045400644013,$500K-$1M
1094300,933184.14091281,933134.8360816715,-161165.16391832847,-14.727694774589095,$1M-$2M
618000,878839.0802647698,647462.7969632474,29462.796963247354,4.76744287431187,$500K-$1M
559600,1051268.7703399183,583910.3310653974,24310.33106539736,4.344233571371937,$500K-$1M
671700,779025.5523198327,661774.8308655963,-9925.169134403695,-1.477619344112505,$500K-$1M
600100,803689.0276809373,608126.396398019,8026.396398019046,1.337509814700724,$500K-$1M
262000,530235.6245756833,505622.6248776633,243622.62487766327,92.98573468613101,<$500K
470400,759507.7715422444,564167.4732865497,93767.47328654968,19.933561497991004,<$500K
655300,673417.6324975577,706552.2421830192,51252.242183019174,7.821187575617149,$500K-$1M
1234200,1084615.7843631678,1247004.2435014555,12804.243501455523,1.0374528845775015,$1M-$2M
1630700,933235.455107184,1129504.4801893376,-501195.5198106624,-30.734992322969422,$1M-$2M
343000,377299.8936840476,482936.52814661356,139936.52814661356,40.7978216170885,<$500K
555100,822134.2900886668,853265.2228840485,298165.2228840485,53.71378542317573,$500K-$1M
456500,395685.4905282819,487751.27151947794,31251.271519477945,6.845842611057599,<$500K
875700,915106.0718572856,895048.9907073305,19348.990707330522,2.209545587225137,$500K-$1M
990000,1448634.4577571708,1156436.6473933873,166436.64739338728,16.811782564988615,$500K-$1M
824200,734217.865457815,830849.6453372196,6649.645337219583,0.8067999681169113,$500K-$1M
545400,392835.23976342974,462420.0157481139,-82979.98425188608,-15.214518564702251,$500K-$1M
611100,1045594.9770636315,826071.4195020093,214971.4195020093,35.17778096907369,$500K-$1M
584800,836635.5394854816,734226.088691464,149426.08869146404,25.55165675298633,$500K-$1M
545800,641995.8407462286,535310.3573866277,-10489.6426133723,-1.9218839526149323,$500K-$1M
647100,593761.8798098873,801687.8050977559,154587.80509775586,23.889322376411045,$500K-$1M
701500,323584.8778134379,560162.8141261357,-141337.18587386434,-20.147852583587216,$500K-$1M
474700,516481.9392142297,523747.9149649181,49047.914964918105,10.332402562653908,<$500K
790200,713555.9341455926,751781.1076466143,-38418.89235338569,-4.861920064969082,$500K-$1M
758900,991467.6237909369,735642.8340389007,-23257.165961099323,-3.0645890052838745,$500K-$1M
671600,433308.4363763925,689936.2504663354,18336.25046633545,2.730233839537738,$500K-$1M
703600,1463230.2668169518,798910.4199383911,95310.41993839107,13.546108575666723,$500K-$1M
668500,390427.51860569033,602477.946675088,-66022.05332491198,-9.876148590113983,$500K-$1M
1243700,1487201.6864706934,1107902.7979084118,-135797.20209158817,-10.918806954377116,$1M-$2M
500300,282613.94067906204,460987.5487878131,-39312.45121218689,-7.8577755770911235,$500K-$1M
580900,673149.0116489783,596443.0943223289,15543.094322328921,2.675691912950408,$500K-$1M
1165000,942628.8549879793,1267029.1712122648,102029.1712122648,8.757868773584962,$1M-$2M
400600,260635.72777247988,414805.3821263452,14205.382126345183,3.546026491848523,<$500K
613600,822345.0778913853,558858.4311186287,-54741.56888137129,-8.921376936338216,$500K-$1M
806300,1202631.1477166796,870906.5336227504,64606.53362275043,8.012716559934322,$500K-$1M
3359300,1974136.9368114811,2558801.712127106,-800498.2878728942,-23.829318247042366,$2M+
1144000,1245656.746458026,1299052.5968303191,155052.59683031915,13.553548673978947,$1M-$2M
1370400,1503595.2932109386,1547231.8666282396,176831.86662823963,12.903668025995302,$1M-$2M
732000,959539.4926202319,864875.2070429482,132875.20704294823,18.152350688927356,$500K-$1M
862200,941673.8063158429,803159.6476041948,-59040.35239580518,-6.847640036627833,$500K-$1M
582700,1188237.6784280608,695081.1975539537,112381.19755395374,19.286287550017803,$500K-$1M
990000,1304484.9598027724,957116.1371792172,-32883.862820782815,-3.321602305129577,$500K-$1M
601900,757153.4081819368,530946.2199076923,-70953.78009230772,-11.78830039745933,$500K-$1M
1444600,1227856.3454714036,1112294.622369317,-332305.3776306829,-23.00327963662487,$1M-$2M
1116800,1172268.7360758907,857803.4604779601,-258996.53952203994,-23.19095088843481,$1M-$2M
1231100,1074103.7397848065,1184052.0487120566,-47047.951287943404,-3.8216189820439768,$1M-$2M
517600,465414.7786664603,526366.8823828019,8766.88238280185,1.6937562563372972,$500K-$1M
525300,309977.19369877566,381953.48061584396,-143346.51938415604,-27.28850549860195,$500K-$1M
1082500,835936.368627926,998647.1261443993,-83852.87385560072,-7.746223912757571,$1M-$2M
430200,628998.4845013699,490822.3390342863,60622.33903428633,14.091664117686268,<$500K
3747500,1675270.3958770903,3156249.7785217674,-591250.2214782326,-15.777190699886129,$2M+
648300,650346.8084848418,667823.4575716457,19523.457571645733,3.01148504884247,$500K-$1M
2919500,1414008.2080722605,2604668.207925093,-314831.7920749071,-10.783757221267583,$2M+
846900,913237.7423457158,789452.1459443183,-57447.85405568173,-6.783310196679859,$500K-$1M
571200,526567.319887956,608750.5206534555,37550.52065345552,6.57397070263577,$500K-$1M
688600,383395.7235530977,545036.3266581526,-143563.67334184737,-20.84863104005916,$500K-$1M
1029800,1117314.8060361496,966875.0177682523,-62924.98223174771,-6.1104080629003406,$1M-$2M
906000,984898.2541557577,871264.4591900995,-34735.5408099005,-3.8339449017550224,$500K-$1M
1023000,659747.4319525376,1044498.8097501982,21498.809750198154,2.1015454301268965,$1M-$2M
416200,421910.332094069,431798.6431653444,15598.643165344372,3.747871976296101,<$500K
